-- Day 1 --
1 ben 1 blurb | Benjamin wrote “the fridge hummed loud enough to hear from the road”. You have put that 1,047 miles from where it happened.
1 benjamin 1 deadpan | You were there. You got 70.
1 andrew 1 — | (silence)
1 maddie 1 blurb | Benjamin wrote “the fridge hummed loud enough to hear from the road”. You have put that 781 miles from where it happened.
1 anna 1 blurb | “the fridge hummed loud enough to hear from the road”, according to Benjamin. Not 3,918 miles from here it didn't.
1 ben 2 — | (silence)
1 benjamin 2 — | (silence)
1 andrew 2 — | (silence)
1 maddie 2 — | (silence)
1 anna 2 listing | The nearest anything to that pin is Los Angeles, 1,305 miles off. No listings out there either.
1 ben 3 — | (silence)
1 benjamin 3 listing | You have pinned the North Atlantic. No bedrooms, no baths, and the host has never responded.
1 andrew 3 — | (silence)
1 maddie 3 — | (silence)
1 anna 3 yardstick | You missed by further than South Padre Island is from Mims. Both of those are in this game.

-- Day 2 --
2 ben 1 listing | 579 miles from Lima and nothing else. Self check-in, one assumes.
2 benjamin 1 — | (silence)
2 andrew 1 blurb | “the sauna smelled faintly of the previous guests”, according to Benjamin. Not 1,241 miles from here it didn't.
2 maddie 1 listing | That pin is in the North Pacific. Check-in is whenever you surface.
2 anna 1 — | (silence)
2 ben 2 yardstick | That is more than the whole way from Keeseville to South Padre Island, and somebody here has slept in both.
2 benjamin 2 — | (silence)
2 andrew 2 listing | The nearest anything to that pin is New York, 1,126 miles off. No listings out there either.
2 maddie 2 yardstick | You missed by further than Keeseville is from South Padre Island. Both of those are in this game.
2 anna 2 — | (silence)
2 ben 3 — | (silence)
2 benjamin 3 — | (silence)
2 andrew 3 — | (silence)
2 maddie 3 witness | You left Andrew out. Andrew has the photos.
2 anna 3 — | (silence)

-- Day 3 --
3 ben 1 — | (silence)
3 benjamin 1 — | (silence)
3 andrew 1 — | (silence)
3 maddie 1 — | (silence)
3 anna 1 — | (silence)
3 ben 2 — | (silence)
3 benjamin 2 — | (silence)
3 andrew 2 deadpan | You were there. You got 180.
3 maddie 2 — | (silence)
3 anna 2 — | (silence)
3 ben 3 — | (silence)
3 benjamin 3 — | (silence)
3 andrew 3 witness | You left Benjamin out. Benjamin has the photos.
3 maddie 3 — | (silence)
3 anna 3 — | (silence)

-- Day 4 --
4 ben 1 callback | Fourth pin in a row in North America.
4 benjamin 1 — | (silence)
4 andrew 1 — | (silence)
4 maddie 1 — | (silence)
4 anna 1 — | (silence)
4 ben 2 — | (silence)
4 benjamin 2 yardstick | That is more than the whole way from New Orleans to Point Arena, and somebody here has slept in both.
4 andrew 2 — | (silence)
4 maddie 2 — | (silence)
4 anna 2 deadpan | You were there. You got 61.
4 ben 3 — | (silence)
4 benjamin 3 blurb | Ben wrote “the shower was a hose bolted to the garden wall”. You have put that 5,315 miles from where it happened.
4 andrew 3 — | (silence)
4 maddie 3 — | (silence)
4 anna 3 witness | Andrew was there. Andrew is in this group chat.

-- Day 5 --
5 ben 1 witness | Andrew slept there. Andrew will have opinions about being left off.
5 benjamin 1 — | (silence)
5 andrew 1 — | (silence)
5 maddie 1 — | (silence)
5 anna 1 — | (silence)
5 ben 2 — | (silence)
5 benjamin 2 — | (silence)
5 andrew 2 — | (silence)
5 maddie 2 — | (silence)
5 anna 2 — | (silence)
5 ben 3 deadpan | You were there. You got 214.
5 benjamin 3 — | (silence)
5 andrew 3 — | (silence)
5 maddie 3 deadpan | You were there. You got 3.
5 anna 3 — | (silence)

-- Day 6 --
6 ben 1 — | (silence)
6 benjamin 1 callback | Fourth pin in a row in North America.
